//===== rAthena Script =======================================
//= Prontera Fields Monster Spawn Script
//===== By: ==================================================
//= Athena (1.0)
//===== Current Version: =====================================
//= 1.4
//===== Compatible With: =====================================
//= rAthena Project
//===== Additional Comments: =================================
//= 1.2 fixed some map name typos [Lupus]
//= 1.3 Official kRO 10.1 spawns [Playtester]
//= 1.4 More accurate spawns [Playtester]
//============================================================

//==================================================
// prt_fild00 - Prontera Field
//==================================================
prt_fild00,0,0 monster	Poring	1002,55
prt_fild00,0,0 monster	Fabre	1007,50
prt_fild08,0,0	monster	Chonchon	1011,20
prt_fild08,0,0	monster	Roda Frog	1012,15
prt_fild08,0,0	monster	Lunatic	1063,15
prt_fild08,0,0	monster	Pupa	1008,10
prt_fild08,0,0	monster	Green Plant	1080,5,480000,1380000

//==================================================
// prt_fild09 - Prontera Field
//==================================================
prt_fild09,0,0	monster	Drops	1113,65
prt_fild09,0,0	monster	Chonchon	1011,25
prt_fild09,0,0	monster	Condor	1009,25
prt_fild09,0,0	monster	Picky	1049,20
prt_fild09,0,0	monster	Peco Peco Egg	1047,20
prt_fild09,0,0	monster	Super Picky	1050,20
prt_fild09,0,0	monster	Baby Desert Wolf	1107,20
prt_fild09,0,0	monster	Muka	1055,5,180000,480000
prt_fild09,0,0	monster	Steel Chonchon	1042,5,180000,480000
prt_fild09,237,115,5,5	monster	Yellow Plant	1081,3,180000,540000

//==================================================
// prt_fild10 - Prontera Field
//==================================================
prt_fild10,0,0	monster	Elder Willow	1033,65
prt_fild10,0,0	monster	Savage Babe	1167,45
prt_fild10,99,114,20,5	monster	Red Mushroom	1085,15,180000,540000
prt_fild10,0,0	monster	Poporing	1031,15
prt_fild10,0,0	monster	Lunatic	1063,10
prt_fild10,0,0	monster	Creamy	1018,10
prt_fild10,0,0	monster	Willow	1010,5
prt_fild10,155,179,10,10	monster	Shining Plant	1083,1,900000,2700000

//==================================================
// prt_fild11 - Prontera Field
//==================================================
prt_fild11,0,0	monster	Savage Babe	1167,65
prt_fild11,0,0	monster	Savage	1166,45
prt_fild11,0,0	monster	Coco	1104,35
prt_fild11,0,0	monster	Red Mushroom	1085,10,120000,300000
prt_fild11,0,0	monster	Elder Willow	1033,10
prt_fild11,0,0	monster	Lunatic	1063,10
prt_fild11,0,0	monster	Poporing	1031,10
prt_fild11,0,0	monster	Yoyo	1057,5
